model,optimizer,detector_type,detector,ood_dataset,auroc,fpr95,aupr_in,run_id,raw_import_path
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_tied,svhn,0.9827510621542717,0.09615089121081745,0.9621762490391461,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_tied,tiny_imagenet,0.864906955,0.5693,0.8610758338995896,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn,cifar100,0.90715651,0.485,0.912053323171239,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn,mnist,0.893795935,0.6975,0.9200117202259335,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn,svhn,0.9639019821757836,0.2119698832206515,0.937940083403709,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn,tiny_imagenet,0.90109993,0.477,0.8998886440054252,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn_l2,cifar100,0.906072105,0.4688,0.9044973147726447,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn_l2,mnist,0.91390268,0.5672,0.9338775671909272,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn_l2,svhn,0.9753485095267364,0.14958512599877075,0.9520811758318815,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,knn_l2,tiny_imagenet,0.899121655,0.4631,0.8923633960369631,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis,cifar100,0.872242515,0.5572,0.8725382263712683,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis,mnist,0.95686856,0.2675,0.9646575019374501,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
